file,creature_index,template,old_id,new_id,portrait,reason
Module/utc/agr_guildmaster.utc.json,0,agr_guildmaster,3712,4354,po_togrum1_,Dynamic species appearance
Module/utc/bankemployee.utc.json,0,bankemployee,376,4350,po_bithm1_,Legacy species head
Module/utc/bunkerbreak.utc.json,0,bunkerbreak,242,3500,po_bo_1_,Dynamic species appearance
Module/utc/colonistbith.utc.json,0,colonistbith,376,4350,po_bithm1_,Legacy species head
Module/utc/colonistduro.utc.json,0,colonistduro,376,4352,po_durosf1_,Legacy species head
Module/utc/colonistgran.utc.json,0,colonistgran,376,4348,po_granm1_,Legacy species head
Module/utc/colonisthuman1.utc.json,0,colonisthuman1,376,3900,po_hu_f_m01_,Human portrait matching gender
Module/utc/colonisthuman2.utc.json,0,colonisthuman2,376,3905,po_hu_m_m11_,Human portrait matching gender
Module/utc/colonistkeldor.utc.json,0,colonistkeldor,376,4346,po_keldorm1_,Legacy species head
Module/utc/colonistmoncala.utc.json,0,colonistmoncala,376,4264,po_moncal_m1_,Legacy species head
Module/utc/colonistrodian.utc.json,0,colonistrodian,376,4385,po_rodf2_,Legacy species head
Module/utc/colonistrodian2.utc.json,0,colonistrodian2,376,4373,po_rodm1_,Legacy species head
Module/utc/colonistwq.utc.json,0,colonistwq,376,129,po_hu_m_99_,Neutral silhouette; no dedicated Weequay portrait
Module/utc/cp_deccommand_ic.utc.json,0,cp_deccommand_ic,376,3500,po_bo_1_,Dynamic species appearance
Module/utc/cp_embunker_ad.utc.json,0,cp_embunker_ad,376,3500,po_bo_1_,Dynamic species appearance
Module/utc/cp_embunker_ic.utc.json,0,cp_embunker_ic,242,3500,po_bo_1_,Dynamic species appearance
Module/utc/cp_emcocktail_ms.utc.json,0,cp_emcocktail_ms,242,3500,po_bo_1_,Dynamic species appearance
Module/utc/cp_holdline_ms.utc.json,0,cp_holdline_ms,376,3500,po_bo_1_,Dynamic species appearance
Module/utc/cp_infconduit_wd.utc.json,0,cp_infconduit_wd,242,3500,po_bo_1_,Dynamic species appearance
Module/utc/cp_killbeacon_ad.utc.json,0,cp_killbeacon_ad,242,3500,po_bo_1_,Dynamic species appearance
Module/utc/cp_killbeacon_sp.utc.json,0,cp_killbeacon_sp,376,3500,po_bo_1_,Dynamic species appearance
Module/utc/cq_alpharhy.utc.json,0,cq_alpharhy,335,3905,po_hu_m_m11_,Distinct human quest-giver portrait; sync blueprint and placement
Module/utc/cq_apexbite.utc.json,0,cq_apexbite,333,3900,po_hu_f_m01_,Distinct human quest-giver portrait; sync blueprint and placement
Module/utc/cq_darkhung.utc.json,0,cq_darkhung,325,3920,po_hu_m_m01_,Distinct human quest-giver portrait; sync blueprint and placement
Module/utc/cq_deccommand.utc.json,0,cq_deccommand,329,3968,po_hu_m_m02_,Distinct human quest-giver portrait; sync blueprint and placement
Module/utc/cq_eclipse.utc.json,0,cq_eclipse,326,3969,po_hu_m_m03_,Distinct human quest-giver portrait; sync blueprint and placement
Module/utc/cq_embunker.utc.json,0,cq_embunker,328,3972,po_hu_m_m04_,Distinct human quest-giver portrait; sync blueprint and placement
Module/utc/cq_emcocktail.utc.json,0,cq_emcocktail,331,3975,po_hu_m_m12_,Distinct human quest-giver portrait; sync blueprint and placement
Module/utc/cq_forcebeast.utc.json,0,cq_forcebeast,338,3976,po_hu_m_m13_,Distinct human quest-giver portrait; sync blueprint and placement
Module/utc/cq_holdline.utc.json,0,cq_holdline,330,3901,po_hu_f_m02_,Distinct human quest-giver portrait; sync blueprint and placement
